Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot,P_dyn
2008-05-27T23:01:07.906Z,3.529465,0.1296011,1.2214999999999998,3.737108759635744,8.58141,11187.21429239614,-337.574,-16.2476,-19.8751,338.54868125835316,3.2850907528947038
2008-05-27T23:02:47.257Z,3.37556,-0.0013755999999999994,1.4169450000000001,3.660893379886986,8.04233,11393.041520113533,-337.605,-16.9938,-22.646,338.7901512432733,3.083116317534925
2008-05-27T23:04:25.093Z,3.55853,-0.7544035,1.378695,3.8901234305272694,8.45319,12995.464461852656,-339.516,-18.4138,-19.4561,340.57117040884424,3.2747855176521767
2008-05-27T23:06:02.921Z,3.6392749999999996,-0.96027,1.47072,4.040972446939597,8.19845,12238.063504347829,-338.395,-17.1432,-18.7052,339.34488332414855,3.1532676089955
2008-05-27T23:07:36.171Z,3.552765,-0.512573,1.9125,4.067250481044166,9.03777,14758.94302608696,-340.158,-17.0968,-15.2864,340.9302561510199,3.5086402507701373
2008-05-27T23:09:18.593Z,3.537655,-1.1403400000000001,1.7819349999999998,4.121974109434701,9.53145,12876.563057613526,-337.145,-22.4413,-20.0607,338.4860331759347,3.6474298444778253
2008-05-27T23:10:53.359Z,3.62418,-0.8499110000000001,1.8547250000000002,4.158970330015111,9.12425,12182.48003756522,-336.286,-22.6962,-20.0434,337.64645588840403,3.474305741552003
2008-05-27T23:12:29.664Z,3.504115,-0.009365850000000002,2.0052950000000003,4.037340422777874,9.07309,11964.051018084547,-335.28,-18.8853,-18.3438,336.31209903084067,3.427572650896929
2008-05-27T23:14:10.554Z,3.91233,-1.126113,1.84254,4.46871459921855,9.98793,14549.817074396142,-342.389,-23.353,-17.5686,343.63388313139325,3.939253379579347
2008-05-27T23:15:48.382Z,3.733935,-0.696404,2.293075,4.4368279289449575,9.30453,13019.65816935266,-341.414,-22.2079,-16.1827,342.5180141214473,3.64592509623894
2008-05-27T23:17:24.687Z,3.5517649999999996,-0.238381,2.70393,4.470245805465959,9.20646,12985.764328570052,-338.449,-19.119,-18.9349,339.5169983962659,3.544558781019132
2008-05-27T23:19:00.992Z,3.596895,-0.3262215,2.3103249999999997,4.287385650219986,9.42271,11731.770379243962,-336.532,-20.3274,-17.5345,337.60102029616263,3.5869869193353683
2008-05-27T23:20:38.828Z,3.5493449999999998,-0.46389349999999996,2.090485,4.145259297509897,9.39554,12239.60929547585,-336.66,-18.492,-18.0798,337.6518752088311,3.5777216136487717
