Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot
2008-05-28T00:11:02.564Z,13.0562,-1.47307,50.6023,52.2803,0.95742084,8655116.816,20.841693,-25.954428,-4.1815393,33.54837955596183
2008-05-28T00:11:05.564Z,12.936,-2.0069,50.4118,52.0837,0.67657618,12256087.918666668,19.973417,-25.145593,-2.6779007,32.22436013540996
2008-05-28T00:11:08.564Z,13.7784,-2.05736,50.6196,52.5016,0.88082402,9586297.729333334,20.473564,-7.3437757,-1.1923601,21.783470499488335
2008-05-28T00:11:11.565Z,12.1966,-1.53651,50.9919,52.4528,0.59998051,13740773.890666666,12.302562,-15.428105,-4.410303,20.21955064304541
2008-05-28T00:11:14.565Z,13.1868,-2.47023,50.6945,52.4397,0.65104151,12924068.544,7.7951011,-12.390858,-0.25873354,14.641171612275643
2008-05-28T00:11:17.565Z,13.7124,-1.18413,50.8807,52.7093,1.1105982,7157106.233333334,25.019774,-17.973661,-4.5124065,31.13524358625189
2008-05-28T00:11:20.565Z,12.2161,-1.25748,51.2041,52.6562,0.77869402,10655481.948,14.563778,-22.48783,-10.051741,28.61544381751338
2008-05-28T00:11:23.565Z,13.7057,-1.86288,51.2663,53.0994,0.62550719,12859599.417333331,16.253869,-17.341195,-4.0906476,24.11718680287093
2008-05-28T00:11:26.565Z,13.3708,-0.743323,51.2918,53.0111,0.65103694,12346657.238666669,19.546675,-19.764511,-1.4996388,27.838055161149665
2008-05-28T00:11:29.565Z,12.9356,-1.55831,51.1395,52.7732,0.72762822,11036191.550666666,15.405676,-13.609428,-0.39199439,20.559791903274494
2008-05-28T00:11:32.565Z,13.2872,-1.45504,51.2659,52.9798,0.65103461,12316681.988000002,31.037584,-13.965907,-5.1656898,34.42473718127023
2008-05-28T00:11:35.566Z,13.661,-1.75752,51.2497,53.0683,0.77868706,10767999.898666665,20.501645,-22.004764,-4.5498274,30.417560976704095
2008-05-28T00:11:38.566Z,13.0173,-0.769052,51.7685,53.3855,0.77868567,10589994.96,16.985668,-20.918539,-7.770738,28.04429639633323
2008-05-28T00:11:41.566Z,13.644,-1.56299,51.7123,53.5048,0.9573987,8207677.053333335,23.607548,-21.584923,-5.3177553,32.42689847825276
2008-05-28T00:11:44.566Z,13.8528,-1.94625,51.645,53.5061,0.59996878,13413904.141333332,17.646003,-18.750965,1.4729117,25.79049396935295
2008-05-28T00:11:47.566Z,13.7671,-0.999034,51.85,53.6559,0.67656046,12101381.193333333,18.775444,-10.518949,0.15715588,21.521855947672254
2008-05-28T00:11:50.566Z,14.0436,-1.17472,51.9482,53.8258,1.136111,6937386.0320000015,19.190527,-26.37915,-2.2878714,32.70122683941945
