L1_time,L1 Data,,,,,,,,,,,L2_time,,L2 Data,,,,,,,,,,,
,B_x(nT),B_y(nT),B_z(nT),B_tot(nT),n(#/cc),T(øK),V_x(km/s),V_y(km/s),V_z(km/s),V_tot(km/s),P_dyn(nPa),,B_x(nT),B_y(nT),B_z(nT),B_tot(nT),n(#/cc),T(øK),V_x(km/s),V_y(km/s),V_z(km/s),V_tot(km/s),Rmp(Re),Rbs(Re),?(ø)
23:00,3.49,-0.21,1.34,3.76,8.36,11858.57,-338.23,-17.22,-20.66,339.30,1.61,00:13,15.09,-1.11,50.69,52.92,0.81,10362413.56,1.14,-17.35,2.25,23.21,8.74,11.14,70.23
23:05,3.58,-0.87,1.72,4.08,8.92,13291.19,-338.57,-18.89,-18.02,339.59,1.72,00:18,11.75,-1.45,51.00,52.43,2.48,6462357.71,11.61,-23.32,-4.15,32.45,8.64,11.02,70.11
23:10,3.68,-0.66,1.90,4.22,9.40,12898.78,-337.99,-21.64,-18.65,339.20,1.81,00:23,11.45,-2.40,50.03,51.41,4.09,3699910.57,25.74,-27.68,-7.63,40.09,8.57,10.93,70.03
23:15,3.63,-0.42,2.44,4.40,9.31,12579.06,-338.80,-20.55,-17.55,339.88,1.80,00:28,12.11,-0.69,47.99,49.53,1.31,9728683.18,12.21,-10.86,-4.62,26.30,8.58,10.94,70.04
23:20,3.55,-0.47,2.15,4.18,9.66,13475.06,-336.08,-20.05,-20.53,337.31,1.84,00:33,9.79,-3.48,49.53,50.74,6.32,4503764.71,-19.40,42.11,-10.72,68.40,8.55,10.90,70.00
23:25,3.68,-0.85,2.38,4.46,10.23,14278.74,-337.30,-18.11,-20.22,338.39,1.96,00:38,10.61,-1.57,46.01,47.30,3.24,6958589.10,29.65,-46.42,-15.14,60.62,8.46,10.78,69.89
23:30,3.55,-0.53,1.64,3.95,8.96,12063.33,-339.36,-20.30,-19.56,340.55,1.73,00:43,12.52,0.19,48.25,49.96,0.34,21437804.80,4.38,-16.46,-6.08,32.90,8.63,11.00,70.10
23:35,3.59,-0.99,1.82,4.15,9.23,13881.67,-340.86,-23.92,-23.19,342.49,1.81,00:48,-0.73,5.91,19.04,30.91,9.56,11193759.53,-44.09,49.98,-45.45,97.78,8.57,10.93,70.03
23:40,3.56,-0.14,1.69,3.95,8.65,12876.70,-334.17,-25.95,-24.59,336.08,1.63,00:53,-7.96,6.75,-22.76,26.52,25.46,1669322.74,-78.03,89.54,-43.33,128.68,8.72,11.12,70.20
23:45,3.55,-0.72,1.85,4.09,9.26,13614.95,-333.30,-26.83,-21.69,335.08,1.74,00:58,-3.70,4.18,-17.48,18.88,33.87,1455656.60,-82.62,81.55,-49.79,128.14,8.63,11.00,70.10
